STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Total_Crimes
ANDHRA PRADESH_KARIMNAGAR,2007,1,4,0,0,0,1,23,61,1,148,239
ANDHRA PRADESH_KARIMNAGAR,2008,2,5,0,0,0,0,14,68,0,81,170
ANDHRA PRADESH_KARIMNAGAR,2009,0,9,0,0,0,0,7,65,0,159,240
ANDHRA PRADESH_KARIMNAGAR,2010,1,10,3,0,0,2,17,67,0,165,265
ANDHRA PRADESH_KHAMMAM,2001,2,6,0,0,0,0,12,51,0,90,161
ANDHRA PRADESH_KHAMMAM,2002,2,3,0,0,0,0,6,25,5,51,92
ANDHRA PRADESH_KHAMMAM,2003,0,9,1,0,0,0,1,10,0,22,43
ANDHRA PRADESH_KHAMMAM,2004,0,3,1,0,0,0,6,17,0,19,46
ANDHRA PRADESH_KHAMMAM,2005,0,1,0,0,0,1,10,16,0,29,57
ANDHRA PRADESH_KHAMMAM,2006,1,5,0,0,0,0,8,33,0,43,90
ANDHRA PRADESH_KHAMMAM,2007,1,5,2,0,0,0,14,14,0,59,95
ANDHRA PRADESH_KHAMMAM,2008,1,5,0,0,0,0,5,17,0,20,48
ANDHRA PRADESH_KHAMMAM,2009,2,6,0,0,0,0,8,7,0,31,54
ANDHRA PRADESH_KHAMMAM,2010,0,2,1,0,0,0,7,6,0,25,41
ANDHRA PRADESH_KRISHNA,2001,1,2,4,0,0,0,13,98,79,82,279
ANDHRA PRADESH_KRISHNA,2002,7,5,1,0,0,1,25,22,153,136,350
ANDHRA PRADESH_KRISHNA,2003,4,2,0,0,0,0,1,122,16,135,280
ANDHRA PRADESH_KRISHNA,2004,4,1,0,0,0,0,20,114,0,84,223
ANDHRA PRADESH_KRISHNA,2005,2,1,1,0,0,0,17,19,0,62,102
ANDHRA PRADESH_KRISHNA,2006,2,0,0,0,0,0,10,6,20,66,104
ANDHRA PRADESH_KRISHNA,2007,2,2,1,0,0,0,19,11,16,27,78
ANDHRA PRADESH_KRISHNA,2008,1,3,0,0,0,0,13,12,38,50,117
ANDHRA PRADESH_KRISHNA,2009,1,3,1,0,0,0,6,16,21,39,87
ANDHRA PRADESH_KRISHNA,2010,0,3,0,0,0,1,24,10,27,61,126
ANDHRA PRADESH_KURNOOL,2001,4,5,0,0,0,0,42,119,0,32,202
ANDHRA PRADESH_KURNOOL,2002,1,7,0,0,0,0,15,90,24,18,155
ANDHRA PRADESH_KURNOOL,2003,1,1,1,0,0,0,35,138,0,124,300
ANDHRA PRADESH_KURNOOL,2004,2,4,0,0,0,2,37,52,0,120,217
ANDHRA PRADESH_KURNOOL,2005,3,3,1,0,0,1,39,66,1,89,203
ANDHRA PRADESH_KURNOOL,2006,7,4,0,0,0,0,66,131,1,220,429
ANDHRA PRADESH_KURNOOL,2007,3,3,5,0,0,0,50,82,0,95,238
ANDHRA PRADESH_KURNOOL,2008,1,1,0,0,0,2,80,142,1,168,395
ANDHRA PRADESH_KURNOOL,2009,6,2,0,0,0,1,71,73,0,156,309
ANDHRA PRADESH_KURNOOL,2010,3,3,0,0,0,2,52,102,0,170,332
ANDHRA PRADESH_MAHABOOBNAGAR,2001,10,8,0,0,0,0,9,79,25,90,221
ANDHRA PRADESH_MAHABOOBNAGAR,2002,8,12,0,0,0,2,0,64,23,82,191
ANDHRA PRADESH_MAHABOOBNAGAR,2003,7,8,0,0,0,0,20,49,3,53,140
ANDHRA PRADESH_MAHABOOBNAGAR,2004,4,4,0,0,0,3,26,143,0,106,286
ANDHRA PRADESH_MAHABOOBNAGAR,2005,4,8,7,0,0,0,28,40,1,94,182
ANDHRA PRADESH_MAHABOOBNAGAR,2006,4,7,3,0,1,0,26,30,0,46,117
ANDHRA PRADESH_MAHABOOBNAGAR,2007,4,13,3,0,0,1,38,42,0,54,155
ANDHRA PRADESH_MAHABOOBNAGAR,2008,2,7,0,0,0,0,20,24,0,51,104
ANDHRA PRADESH_MAHABOOBNAGAR,2009,4,12,0,0,0,0,35,157,0,109,317
ANDHRA PRADESH_MAHABOOBNAGAR,2010,6,3,0,0,0,0,33,85,0,85,212
ANDHRA PRADESH_MEDAK,2001,4,2,0,0,0,0,1,27,1,26,61
ANDHRA PRADESH_MEDAK,2002,0,5,1,0,0,0,4,70,1,65,146
ANDHRA PRADESH_MEDAK,2003,0,6,1,0,0,0,9,86,0,74,176
ANDHRA PRADESH_MEDAK,2004,1,2,1,0,0,1,5,50,1,39,100
ANDHRA PRADESH_MEDAK,2005,0,1,0,0,0,0,3,41,0,37,82
ANDHRA PRADESH_MEDAK,2006,4,8,0,0,0,0,5,66,0,50,133
ANDHRA PRADESH_MEDAK,2007,0,7,0,0,0,0,5,59,3,47,121
ANDHRA PRADESH_MEDAK,2008,3,3,0,0,0,0,11,61,0,43,121
ANDHRA PRADESH_MEDAK,2009,1,1,1,0,0,0,11,55,1,40,110
ANDHRA PRADESH_MEDAK,2010,3,7,0,0,0,0,7,69,0,52,138
ANDHRA PRADESH_NALGONDA,2001,1,1,0,0,0,0,3,34,1,3,43
ANDHRA PRADESH_NALGONDA,2002,0,2,0,0,0,0,1,36,3,5,47
ANDHRA PRADESH_NALGONDA,2003,3,8,0,0,0,1,5,40,0,56,113
ANDHRA PRADESH_NALGONDA,2004,1,1,0,0,0,0,15,111,0,93,221
ANDHRA PRADESH_NALGONDA,2005,2,5,0,0,0,1,10,86,0,72,176
ANDHRA PRADESH_NALGONDA,2006,1,8,0,0,0,2,18,110,0,80,219
ANDHRA PRADESH_NALGONDA,2007,1,10,0,0,0,1,17,175,0,145,349
ANDHRA PRADESH_NALGONDA,2008,2,12,0,0,0,0,45,225,0,166,450
ANDHRA PRADESH_NALGONDA,2009,3,10,0,0,0,0,31,215,0,167,426
ANDHRA PRADESH_NALGONDA,2010,3,5,0,0,0,1,18,149,0,121,297
ANDHRA PRADESH_NELLORE,2001,0,4,3,0,0,1,6,31,0,29,74
ANDHRA PRADESH_NELLORE,2002,0,4,2,0,0,0,21,124,0,57,208
ANDHRA PRADESH_NELLORE,2003,0,3,1,0,0,0,21,58,0,63,146
ANDHRA PRADESH_NELLORE,2004,6,4,11,0,0,5,21,63,6,89,205
ANDHRA PRADESH_NELLORE,2005,3,1,0,0,0,1,25,144,2,120,296
ANDHRA PRADESH_NELLORE,2006,2,1,0,0,0,4,32,183,0,144,366
ANDHRA PRADESH_NELLORE,2007,6,6,0,0,0,1,31,54,0,28,126
ANDHRA PRADESH_NELLORE,2008,3,0,0,0,0,0,30,64,0,106,203
ANDHRA PRADESH_NELLORE,2009,2,4,0,0,0,0,25,59,0,95,185
ANDHRA PRADESH_NELLORE,2010,2,2,0,0,0,1,30,34,0,87,156
ANDHRA PRADESH_NIZAMABAD,2001,0,2,3,0,0,0,9,9,0,23,46
ANDHRA PRADESH_NIZAMABAD,2002,0,5,0,0,0,0,6,13,0,38,62
ANDHRA PRADESH_NIZAMABAD,2003,0,0,0,0,0,1,14,13,0,20,48
ANDHRA PRADESH_NIZAMABAD,2004,2,0,0,0,0,3,13,23,0,15,56
ANDHRA PRADESH_NIZAMABAD,2005,1,1,0,0,0,1,14,19,0,24,60
ANDHRA PRADESH_NIZAMABAD,2006,3,5,0,0,0,0,7,38,0,28,81
ANDHRA PRADESH_NIZAMABAD,2007,5,3,1,0,0,0,5,7,0,26,47
ANDHRA PRADESH_NIZAMABAD,2008,0,3,0,0,0,0,5,11,0,25,44
ANDHRA PRADESH_NIZAMABAD,2009,2,3,0,0,0,0,6,15,0,43,69
ANDHRA PRADESH_NIZAMABAD,2010,6,7,1,0,0,0,11,15,0,53,93
ANDHRA PRADESH_PRAKASHAM,2001,1,0,0,0,0,0,28,52,4,29,114
ANDHRA PRADESH_PRAKASHAM,2002,3,0,0,0,0,0,47,19,4,30,103
ANDHRA PRADESH_PRAKASHAM,2003,2,2,1,0,0,0,52,28,5,24,114
ANDHRA PRADESH_PRAKASHAM,2004,0,3,3,0,1,0,46,15,0,25,93
ANDHRA PRADESH_PRAKASHAM,2005,0,2,1,0,0,0,48,7,1,15,74
ANDHRA PRADESH_PRAKASHAM,2006,0,2,0,0,0,1,59,18,0,27,107
ANDHRA PRADESH_PRAKASHAM,2007,1,6,0,0,0,1,44,104,0,52,208
ANDHRA PRADESH_PRAKASHAM,2008,1,2,0,0,0,1,51,23,0,64,142
