STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against STs,Total_Crimes
ANDHRA PRADESH_PRAKASHAM,2002,0,0,0.0,0,0,0,4,1,0,0,5.0
ANDHRA PRADESH_PRAKASHAM,2003,0,0,0.0,0,0,0,4,1,0,1,6.0
ANDHRA PRADESH_PRAKASHAM,2004,0,0,0.0,0,0,0,6,1,1,1,9.0
ANDHRA PRADESH_PRAKASHAM,2005,0,0,0.0,0,0,0,4,3,0,4,11.0
ANDHRA PRADESH_PRAKASHAM,2006,0,11,0.0,0,0,0,10,1,0,6,28.0
ANDHRA PRADESH_PRAKASHAM,2007,0,1,0.0,0,0,1,5,14,0,7,28.0
ANDHRA PRADESH_PRAKASHAM,2008,0,0,0.0,0,0,0,9,1,0,7,17.0
ANDHRA PRADESH_PRAKASHAM,2009,0,0,0.0,0,0,0,2,5,0,11,18.0
ANDHRA PRADESH_PRAKASHAM,2010,0,0,0.0,0,0,0,5,1,0,9,15.0
ANDHRA PRADESH_RAJAHMUNDRY,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2002,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2003,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2004,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2005,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2008,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ANDHRA PRADESH_RAJAHMUNDRY,2010,0,0,0.0,0,0,0,1,2,0,0,3.0
ANDHRA PRADESH_RANGAREDDY,2001,0,2,0.0,0,0,0,4,10,1,33,50.0
ANDHRA PRADESH_RANGAREDDY,2002,0,2,0.0,0,0,1,2,9,3,23,40.0
ANDHRA PRADESH_RANGAREDDY,2003,0,0,0.0,0,0,0,0,6,0,0,6.0
ANDHRA PRADESH_RANGAREDDY,2004,0,3,0.0,0,0,0,7,0,0,97,107.0
ANDHRA PRADESH_RANGAREDDY,2005,3,1,0.0,0,0,0,5,8,0,4,21.0
ANDHRA PRADESH_RANGAREDDY,2006,1,5,0.0,0,0,0,0,18,6,9,39.0
ANDHRA PRADESH_RANGAREDDY,2007,2,3,0.0,0,0,0,0,77,1,3,86.0
ANDHRA PRADESH_RANGAREDDY,2008,0,2,0.0,0,0,0,8,43,2,11,66.0
ANDHRA PRADESH_RANGAREDDY,2009,0,0,0.0,0,0,0,2,20,0,0,22.0
ANDHRA PRADESH_RANGAREDDY,2010,0,1,0.0,0,0,0,0,25,0,18,44.0
ANDHRA PRADESH_SECUNDERABAD RLY.,2001,0,0,0.0,0,0,0,0,0,0,0,0.0
