STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
GUJARAT_PANCHMAHAL,2008,240.0,8,53,0,29,2,148,0
GUJARAT_PANCHMAHAL,2009,243.0,15,51,0,27,3,147,0
GUJARAT_PANCHMAHAL,2010,290.0,13,58,0,31,0,188,0
GUJARAT_PATAN,2001,125.0,3,21,0,23,0,78,0
GUJARAT_PATAN,2002,144.0,3,28,0,25,0,88,0
GUJARAT_PATAN,2003,150.0,2,15,0,21,0,112,0
GUJARAT_PATAN,2004,155.0,6,27,0,19,0,103,0
GUJARAT_PATAN,2005,160.0,6,19,0,24,0,111,0
GUJARAT_PATAN,2006,193.0,10,11,0,25,0,147,0
GUJARAT_PATAN,2007,258.0,6,41,0,33,0,178,0
GUJARAT_PATAN,2008,229.0,19,24,0,29,0,157,0
GUJARAT_PATAN,2009,218.0,19,20,0,43,0,136,0
GUJARAT_PATAN,2010,182.0,11,37,0,32,1,101,0
GUJARAT_PORBANDAR,2001,85.0,6,5,0,10,0,64,0
GUJARAT_PORBANDAR,2002,84.0,4,8,3,16,0,53,0
GUJARAT_PORBANDAR,2003,58.0,1,5,0,7,1,44,0
GUJARAT_PORBANDAR,2004,51.0,1,4,0,5,0,41,0
GUJARAT_PORBANDAR,2005,51.0,1,8,1,5,0,36,0
GUJARAT_PORBANDAR,2006,55.0,2,6,1,1,0,45,0
GUJARAT_PORBANDAR,2007,71.0,1,7,0,4,0,59,0
GUJARAT_PORBANDAR,2008,67.0,3,11,0,5,0,48,0
GUJARAT_PORBANDAR,2009,77.0,3,17,0,2,2,53,0
GUJARAT_PORBANDAR,2010,88.0,2,9,1,4,3,69,0
GUJARAT_RAJKOT,2001,587.0,25,73,5,64,15,405,0
GUJARAT_RAJKOT,2002,539.0,21,66,7,72,20,353,0
GUJARAT_RAJKOT,2003,488.0,19,68,9,43,17,332,0
GUJARAT_RAJKOT,2004,626.0,26,73,7,57,14,449,0
GUJARAT_RAJKOT,2005,595.0,25,81,4,46,8,431,0
GUJARAT_RAJKOT,2006,599.0,25,51,2,39,17,465,0
GUJARAT_RAJKOT,2007,663.0,29,87,7,43,23,474,0
GUJARAT_RAJKOT,2008,824.0,36,82,5,75,21,605,0
GUJARAT_RAJKOT,2009,744.0,36,90,6,51,11,550,0
GUJARAT_RAJKOT,2010,724.0,36,92,1,36,12,547,0
GUJARAT_SURAT,2001,298.0,37,53,20,21,1,166,0
GUJARAT_SURAT,2002,303.0,28,51,20,36,13,155,0
GUJARAT_SURAT,2003,474.0,36,49,19,38,2,330,0
GUJARAT_SURAT,2004,293.0,38,60,20,32,8,135,0
GUJARAT_SURAT,2005,406.0,32,86,17,54,4,213,0
GUJARAT_SURAT,2006,510.0,42,94,22,57,6,289,0
GUJARAT_SURAT,2007,562.0,28,86,22,49,8,369,0
GUJARAT_SURAT,2008,691.0,31,84,11,61,2,502,0
GUJARAT_SURAT,2009,545.0,38,86,9,38,2,372,0
GUJARAT_SURAT,2010,443.0,29,86,3,28,1,296,0
GUJARAT_SURENDRANAGAR,2001,160.0,11,24,2,45,3,75,0
GUJARAT_SURENDRANAGAR,2002,171.0,13,29,4,40,2,83,0
GUJARAT_SURENDRANAGAR,2003,144.0,16,25,6,42,2,53,0
GUJARAT_SURENDRANAGAR,2004,134.0,13,23,0,35,0,63,0
GUJARAT_SURENDRANAGAR,2005,171.0,13,31,0,36,1,90,0
GUJARAT_SURENDRANAGAR,2006,155.0,17,20,1,34,2,81,0
GUJARAT_SURENDRANAGAR,2007,217.0,17,28,0,48,5,119,0
GUJARAT_SURENDRANAGAR,2008,243.0,21,38,0,50,1,133,0
GUJARAT_SURENDRANAGAR,2009,234.0,18,54,0,39,3,120,0
GUJARAT_SURENDRANAGAR,2010,207.0,29,27,0,36,2,113,0
GUJARAT_TAPI,2001,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2002,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2003,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2004,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2005,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2006,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2007,0.0,0,0,0,0,0,0,0
GUJARAT_TAPI,2008,13.0,3,2,0,2,0,6,0
GUJARAT_TAPI,2009,18.0,7,4,0,0,0,7,0
GUJARAT_TAPI,2010,28.0,3,1,0,7,0,17,0
GUJARAT_VADODARA,2001,313.0,21,66,0,45,10,171,0
GUJARAT_VADODARA,2002,271.0,17,70,0,36,7,141,0
GUJARAT_VADODARA,2003,369.0,22,80,0,50,5,212,0
GUJARAT_VADODARA,2004,401.0,28,88,0,53,8,224,0
GUJARAT_VADODARA,2005,302.0,26,62,0,38,2,174,0
GUJARAT_VADODARA,2006,324.0,16,58,0,27,3,220,0
GUJARAT_VADODARA,2007,463.0,18,74,0,32,8,331,0
GUJARAT_VADODARA,2008,480.0,18,67,0,37,3,355,0
GUJARAT_VADODARA,2009,428.0,29,94,0,52,0,253,0
GUJARAT_VADODARA,2010,440.0,23,80,0,36,0,301,0
GUJARAT_VALSAD,2001,80.0,9,11,0,10,0,50,0
GUJARAT_VALSAD,2002,63.0,3,16,0,12,0,32,0
GUJARAT_VALSAD,2003,59.0,5,10,0,7,0,37,0
GUJARAT_VALSAD,2004,77.0,9,16,0,12,0,40,0
GUJARAT_VALSAD,2005,80.0,11,20,1,17,0,31,0
GUJARAT_VALSAD,2006,55.0,1,12,0,10,0,32,0
GUJARAT_VALSAD,2007,41.0,8,2,0,6,0,25,0
GUJARAT_VALSAD,2008,51.0,4,9,0,6,0,32,0
GUJARAT_VALSAD,2009,54.0,10,12,0,5,0,27,0
GUJARAT_VALSAD,2010,38.0,11,8,0,4,0,15,0
GUJARAT_W.RLY,2001,15.0,1,0,0,7,0,7,0
GUJARAT_W.RLY,2002,19.0,3,7,0,4,0,5,0
GUJARAT_W.RLY,2003,17.0,2,2,0,9,0,4,0
GUJARAT_W.RLY,2004,26.0,3,0,0,9,10,4,0
GUJARAT_W.RLY,2005,16.0,2,4,0,8,1,1,0
GUJARAT_W.RLY,2006,15.0,2,4,0,6,1,2,0
GUJARAT_W.RLY,2007,12.0,0,1,0,7,0,4,0
GUJARAT_W.RLY,2008,13.0,2,3,1,5,1,1,0
GUJARAT_W.RLY,2009,12.0,1,1,0,5,2,3,0
GUJARAT_W.RLY,2010,10.0,0,2,0,4,1,3,0
HARYANA_AMBALA,2001,213.0,11,32,11,27,0,132,0
HARYANA_AMBALA,2002,179.0,15,18,7,17,0,122,0
HARYANA_AMBALA,2003,218.0,10,24,7,17,31,129,0
HARYANA_AMBALA,2004,322.0,10,22,11,25,27,227,0
HARYANA_AMBALA,2005,212.0,19,19,9,19,16,130,0
HARYANA_AMBALA,2006,271.0,19,16,9,26,27,174,0
HARYANA_AMBALA,2007,229.0,23,10,16,11,15,154,0
HARYANA_AMBALA,2008,315.0,35,49,11,27,21,172,0
HARYANA_AMBALA,2009,248.0,28,16,14,18,17,155,0
HARYANA_AMBALA,2010,316.0,30,23,9,20,14,220,0
HARYANA_BHIWANI,2001,110.0,10,7,33,17,0,43,0
HARYANA_BHIWANI,2002,148.0,17,13,35,29,0,54,0
HARYANA_BHIWANI,2003,136.0,15,7,28,17,0,69,0
HARYANA_BHIWANI,2004,155.0,28,12,28,19,0,68,0
HARYANA_BHIWANI,2005,182.0,18,22,19,20,16,87,0
HARYANA_BHIWANI,2006,226.0,35,26,19,38,8,100,0
HARYANA_BHIWANI,2007,223.0,17,23,17,23,15,128,0
HARYANA_BHIWANI,2008,238.0,33,36,14,24,20,111,0
HARYANA_BHIWANI,2009,253.0,37,53,17,37,21,88,0
HARYANA_BHIWANI,2010,212.0,30,36,22,45,15,64,0
HARYANA_FARIDABAD,2001,506.0,37,53,19,47,242,108,0
HARYANA_FARIDABAD,2002,1365.0,37,39,19,56,1122,92,0
HARYANA_FARIDABAD,2003,1249.0,36,49,14,34,980,136,0
HARYANA_FARIDABAD,2004,906.0,42,49,28,45,585,157,0
HARYANA_FARIDABAD,2005,607.0,39,67,18,42,253,188,0
HARYANA_FARIDABAD,2006,445.0,40,66,14,35,144,146,0
HARYANA_FARIDABAD,2007,363.0,37,117,19,23,0,167,0
HARYANA_FARIDABAD,2008,454.0,46,94,21,23,97,173,0
HARYANA_FARIDABAD,2009,323.0,35,62,17,26,4,179,0
HARYANA_FARIDABAD,2010,489.0,51,86,23,27,78,224,0
HARYANA_FATEHABAD,2001,157.0,17,13,17,17,0,93,0
HARYANA_FATEHABAD,2002,112.0,7,15,9,22,5,54,0
HARYANA_FATEHABAD,2003,79.0,7,7,3,11,4,47,0
HARYANA_FATEHABAD,2004,82.0,9,9,6,17,3,38,0
HARYANA_FATEHABAD,2005,120.0,9,15,5,17,8,66,0
HARYANA_FATEHABAD,2006,136.0,18,5,6,17,7,83,0
HARYANA_FATEHABAD,2007,167.0,7,8,2,16,12,122,0
HARYANA_FATEHABAD,2008,209.0,12,21,4,16,13,143,0
HARYANA_FATEHABAD,2009,152.0,9,34,12,10,7,80,0
HARYANA_FATEHABAD,2010,158.0,21,31,5,13,9,79,0
HARYANA_GRP,2001,34.0,0,2,5,1,26,0,0
HARYANA_GRP,2002,74.0,1,0,14,1,58,0,0
HARYANA_GRP,2003,54.0,1,0,3,0,50,0,0
HARYANA_GRP,2004,123.0,2,0,7,3,111,0,0
HARYANA_GRP,2005,129.0,2,2,7,2,116,0,0
HARYANA_GRP,2006,127.0,1,1,6,6,113,0,0
HARYANA_GRP,2007,169.0,2,3,5,6,153,0,0
HARYANA_GRP,2008,175.0,1,3,6,7,158,0,0
HARYANA_GRP,2009,233.0,3,1,10,2,216,1,0
HARYANA_GRP,2010,160.0,1,2,5,8,144,0,0
HARYANA_GURGAON,2001,259.0,32,32,17,21,21,136,0
HARYANA_GURGAON,2002,294.0,27,36,11,35,57,128,0
HARYANA_GURGAON,2003,226.0,32,37,13,17,26,101,0
HARYANA_GURGAON,2004,245.0,36,34,21,21,18,115,0
HARYANA_GURGAON,2005,171.0,17,22,10,20,31,71,0
HARYANA_GURGAON,2006,278.0,30,51,20,32,56,89,0
HARYANA_GURGAON,2007,333.0,40,75,17,36,43,122,0
HARYANA_GURGAON,2008,302.0,35,66,19,27,32,123,0
HARYANA_GURGAON,2009,284.0,29,42,24,21,40,128,0
HARYANA_GURGAON,2010,263.0,45,42,22,30,38,86,0
HARYANA_HISSAR,2001,202.0,10,18,24,33,0,117,0
HARYANA_HISSAR,2002,195.0,15,21,28,31,4,96,0
HARYANA_HISSAR,2003,176.0,16,18,17,35,10,80,0
HARYANA_HISSAR,2004,213.0,16,31,12,18,9,127,0
HARYANA_HISSAR,2005,229.0,25,9,19,31,6,139,0
HARYANA_HISSAR,2006,243.0,23,26,17,19,0,158,0
HARYANA_HISSAR,2007,235.0,21,31,7,19,0,157,0
HARYANA_HISSAR,2008,317.0,23,27,19,25,9,214,0
HARYANA_HISSAR,2009,323.0,33,26,15,27,14,208,0
HARYANA_HISSAR,2010,405.0,25,65,13,24,17,261,0
HARYANA_JHAJJAR,2001,226.0,21,8,20,42,13,122,0
HARYANA_JHAJJAR,2002,235.0,18,12,14,39,37,115,0
HARYANA_JHAJJAR,2003,193.0,9,8,17,32,35,92,0
HARYANA_JHAJJAR,2004,171.0,11,7,14,17,18,104,0
HARYANA_JHAJJAR,2005,156.0,13,10,11,16,20,86,0
HARYANA_JHAJJAR,2006,121.0,15,9,16,14,9,58,0
HARYANA_JHAJJAR,2007,165.0,14,21,19,10,14,87,0
HARYANA_JHAJJAR,2008,227.0,22,15,20,13,42,115,0
HARYANA_JHAJJAR,2009,166.0,20,15,13,20,20,78,0
HARYANA_JHAJJAR,2010,252.0,36,30,12,27,30,117,0
HARYANA_JIND,2001,158.0,21,8,11,22,29,67,0
HARYANA_JIND,2002,118.0,19,9,11,10,12,57,0
HARYANA_JIND,2003,86.0,17,5,10,7,13,34,0
HARYANA_JIND,2004,78.0,7,6,14,2,18,31,0
HARYANA_JIND,2005,91.0,14,6,17,2,17,35,0
HARYANA_JIND,2006,134.0,32,7,13,17,12,53,0
HARYANA_JIND,2007,173.0,19,18,12,14,15,95,0
HARYANA_JIND,2008,188.0,38,23,18,21,15,73,0
HARYANA_JIND,2009,255.0,35,30,11,33,49,97,0
HARYANA_JIND,2010,207.0,29,26,17,27,20,88,0
HARYANA_KAITHAL,2001,157.0,16,8,9,19,0,105,0
HARYANA_KAITHAL,2002,126.0,7,4,6,11,0,98,0
HARYANA_KAITHAL,2003,164.0,15,2,8,14,0,125,0
HARYANA_KAITHAL,2004,185.0,18,9,9,13,0,136,0
HARYANA_KAITHAL,2005,158.0,19,9,6,9,0,115,0
HARYANA_KAITHAL,2006,203.0,25,6,9,14,0,149,0
HARYANA_KAITHAL,2007,242.0,14,10,14,26,0,178,0
HARYANA_KAITHAL,2008,207.0,14,16,13,14,0,150,0
HARYANA_KAITHAL,2009,260.0,24,16,13,20,0,187,0
HARYANA_KAITHAL,2010,186.0,28,20,11,15,0,112,0
HARYANA_KARNAL,2001,199.0,44,10,18,28,2,97,0
HARYANA_KARNAL,2002,196.0,37,8,11,25,0,115,0
HARYANA_KARNAL,2003,247.0,27,14,14,18,1,173,0
HARYANA_KARNAL,2004,323.0,31,12,15,23,0,242,0
HARYANA_KARNAL,2005,360.0,50,19,14,39,2,236,0
HARYANA_KARNAL,2006,337.0,51,23,13,35,1,214,0
HARYANA_KARNAL,2007,270.0,47,13,13,28,0,169,0
HARYANA_KARNAL,2008,266.0,50,23,17,31,21,124,0
HARYANA_KARNAL,2009,383.0,48,40,17,32,21,225,0
HARYANA_KARNAL,2010,375.0,52,20,21,29,22,231,0
HARYANA_KURUKSHETRA,2001,159.0,31,14,10,28,8,68,0
HARYANA_KURUKSHETRA,2002,158.0,15,14,7,20,14,88,0
HARYANA_KURUKSHETRA,2003,175.0,23,7,12,23,18,92,0
HARYANA_KURUKSHETRA,2004,209.0,21,5,15,28,20,120,0
HARYANA_KURUKSHETRA,2005,176.0,24,9,5,24,15,99,0
HARYANA_KURUKSHETRA,2006,217.0,34,15,5,10,37,116,0
HARYANA_KURUKSHETRA,2007,171.0,21,13,11,11,16,99,0
HARYANA_KURUKSHETRA,2008,187.0,41,24,12,11,27,72,0
HARYANA_KURUKSHETRA,2009,245.0,43,47,5,20,29,101,0
HARYANA_KURUKSHETRA,2010,187.0,36,26,13,9,24,79,0
HARYANA_MAHENDRAGARH,2001,69.0,11,8,8,19,0,23,0
HARYANA_MAHENDRAGARH,2002,69.0,16,9,3,22,0,19,0
HARYANA_MAHENDRAGARH,2003,62.0,10,9,4,12,0,27,0
HARYANA_MAHENDRAGARH,2004,93.0,20,11,8,18,0,36,0
HARYANA_MAHENDRAGARH,2005,63.0,15,9,6,13,0,20,0
HARYANA_MAHENDRAGARH,2006,116.0,17,16,10,32,0,41,0
HARYANA_MAHENDRAGARH,2007,110.0,10,22,14,17,0,47,0
HARYANA_MAHENDRAGARH,2008,147.0,21,20,16,17,0,73,0
HARYANA_MAHENDRAGARH,2009,110.0,10,19,10,13,0,58,0
HARYANA_MAHENDRAGARH,2010,182.0,28,36,7,25,0,86,0
HARYANA_MEWAT,2001,0.0,0,0,0,0,0,0,0
HARYANA_MEWAT,2002,0.0,0,0,0,0,0,0,0
HARYANA_MEWAT,2003,0.0,0,0,0,0,0,0,0
HARYANA_MEWAT,2004,0.0,0,0,0,0,0,0,0
HARYANA_MEWAT,2005,173.0,34,3,7,12,5,112,0
HARYANA_MEWAT,2006,202.0,35,4,8,24,7,124,0
HARYANA_MEWAT,2007,260.0,44,18,13,18,14,153,0
HARYANA_MEWAT,2008,175.0,29,13,7,6,6,114,0
HARYANA_MEWAT,2009,228.0,16,12,5,11,3,181,0
HARYANA_MEWAT,2010,219.0,28,19,5,12,5,150,0
HARYANA_PALWAL,2001,0.0,0,0,0,0,0,0,0
HARYANA_PALWAL,2002,0.0,0,0,0,0,0,0,0
HARYANA_PALWAL,2003,0.0,0,0,0,0,0,0,0
HARYANA_PALWAL,2004,0.0,0,0,0,0,0,0,0
HARYANA_PALWAL,2005,0.0,0,0,0,0,0,0,0
HARYANA_PALWAL,2006,116.0,26,17,5,21,0,47,0
HARYANA_PALWAL,2007,150.0,15,17,9,21,34,54,0
HARYANA_PALWAL,2008,214.0,29,23,15,25,33,89,0
HARYANA_PALWAL,2009,181.0,33,25,12,23,0,88,0
HARYANA_PALWAL,2010,201.0,41,27,14,30,0,89,0
HARYANA_PANCHKULA,2001,101.0,6,15,4,23,10,43,0
HARYANA_PANCHKULA,2002,169.0,13,17,5,29,45,60,0
HARYANA_PANCHKULA,2003,179.0,12,13,5,10,83,56,0
HARYANA_PANCHKULA,2004,125.0,6,5,4,53,0,57,0
HARYANA_PANCHKULA,2005,113.0,8,13,2,7,18,65,0
HARYANA_PANCHKULA,2006,101.0,10,13,2,13,0,63,0
HARYANA_PANCHKULA,2007,99.0,11,9,0,9,0,70,0
HARYANA_PANCHKULA,2008,117.0,15,18,5,6,1,72,0
HARYANA_PANCHKULA,2009,113.0,18,10,1,12,0,72,0
HARYANA_PANCHKULA,2010,132.0,10,12,1,10,1,98,0
HARYANA_PANIPAT,2001,178.0,38,10,11,16,11,92,0
HARYANA_PANIPAT,2002,308.0,43,21,9,22,20,193,0
HARYANA_PANIPAT,2003,264.0,38,9,13,17,22,165,0
HARYANA_PANIPAT,2004,224.0,38,8,4,14,8,152,0
HARYANA_PANIPAT,2005,236.0,56,21,11,11,10,127,0
HARYANA_PANIPAT,2006,248.0,65,29,19,18,13,104,0
HARYANA_PANIPAT,2007,163.0,34,24,11,13,18,63,0
HARYANA_PANIPAT,2008,172.0,30,34,13,16,17,62,0
HARYANA_PANIPAT,2009,282.0,45,31,19,26,44,117,0
HARYANA_PANIPAT,2010,344.0,55,49,13,22,30,175,0
HARYANA_REWARI,2001,65.0,11,11,12,17,0,14,0
HARYANA_REWARI,2002,69.0,10,7,14,15,0,23,0
HARYANA_REWARI,2003,84.0,11,9,7,22,1,34,0
HARYANA_REWARI,2004,117.0,16,21,8,24,0,48,0
HARYANA_REWARI,2005,122.0,13,19,9,21,10,50,0
HARYANA_REWARI,2006,108.0,21,9,4,23,0,51,0
HARYANA_REWARI,2007,170.0,22,29,12,30,1,76,0
HARYANA_REWARI,2008,164.0,23,25,13,31,0,72,0
HARYANA_REWARI,2009,156.0,19,29,14,19,20,55,0
HARYANA_REWARI,2010,177.0,25,24,14,16,27,71,0
HARYANA_ROHTAK,2001,138.0,28,6,17,26,20,41,0
HARYANA_ROHTAK,2002,128.0,17,10,17,14,40,30,0
HARYANA_ROHTAK,2003,126.0,25,15,17,12,23,34,0
HARYANA_ROHTAK,2004,137.0,29,13,15,14,21,45,0
HARYANA_ROHTAK,2005,176.0,29,10,9,17,32,79,0
HARYANA_ROHTAK,2006,195.0,34,17,22,13,29,80,0
HARYANA_ROHTAK,2007,211.0,18,20,31,18,32,92,0
HARYANA_ROHTAK,2008,245.0,39,20,17,25,38,106,0
HARYANA_ROHTAK,2009,265.0,36,30,18,30,38,113,0
HARYANA_ROHTAK,2010,257.0,51,19,17,26,57,87,0
HARYANA_SIRSA,2001,157.0,17,7,12,23,0,98,0
HARYANA_SIRSA,2002,163.0,20,3,7,30,0,103,0
HARYANA_SIRSA,2003,116.0,22,5,9,10,0,70,0
HARYANA_SIRSA,2004,151.0,17,6,9,17,0,102,0
HARYANA_SIRSA,2005,171.0,15,10,10,17,0,119,0
HARYANA_SIRSA,2006,167.0,18,2,4,14,0,129,0
HARYANA_SIRSA,2007,217.0,23,14,5,21,0,154,0
HARYANA_SIRSA,2008,197.0,31,16,9,14,0,127,0
HARYANA_SIRSA,2009,165.0,24,28,6,10,0,97,0
HARYANA_SIRSA,2010,211.0,39,30,8,9,0,125,0
HARYANA_SONIPAT,2001,132.0,15,12,18,22,14,51,0
HARYANA_SONIPAT,2002,138.0,14,16,20,15,10,63,0
HARYANA_SONIPAT,2003,146.0,15,20,17,21,5,68,0
HARYANA_SONIPAT,2004,171.0,13,20,16,22,12,88,0
HARYANA_SONIPAT,2005,238.0,28,29,14,21,22,124,0
HARYANA_SONIPAT,2006,345.0,31,49,26,46,28,165,0
HARYANA_SONIPAT,2007,272.0,24,26,16,30,27,149,0
HARYANA_SONIPAT,2008,333.0,36,43,24,31,50,149,0
HARYANA_SONIPAT,2009,287.0,32,42,17,21,46,129,0
HARYANA_SONIPAT,2010,300.0,27,56,26,32,36,123,0
HARYANA_YAMUNANAGAR,2001,152.0,22,23,9,30,5,63,0
HARYANA_YAMUNANAGAR,2002,106.0,13,18,9,11,0,55,0
HARYANA_YAMUNANAGAR,2003,130.0,12,13,4,15,0,86,0
HARYANA_YAMUNANAGAR,2004,178.0,16,12,7,10,0,133,0
HARYANA_YAMUNANAGAR,2005,186.0,14,21,4,20,0,127,0
HARYANA_YAMUNANAGAR,2006,189.0,28,24,8,19,0,110,0
HARYANA_YAMUNANAGAR,2007,157.0,25,33,6,17,0,76,0
HARYANA_YAMUNANAGAR,2008,203.0,28,35,9,25,5,101,0
HARYANA_YAMUNANAGAR,2009,304.0,26,51,11,20,16,180,0
HARYANA_YAMUNANAGAR,2010,261.0,32,35,6,20,13,155,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2001,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2002,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2003,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2004,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2005,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2006,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2007,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2008,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2009,17.0,2,1,0,5,0,9,0
HIMACHAL PRADESH_BADDIPOLICEDIST,2010,22.0,5,6,0,6,1,4,0
HIMACHAL PRADESH_BILASPUR,2001,98.0,5,9,1,35,1,47,0
HIMACHAL PRADESH_BILASPUR,2002,71.0,9,3,0,36,1,22,0
HIMACHAL PRADESH_BILASPUR,2003,63.0,13,11,0,20,2,17,0
HIMACHAL PRADESH_BILASPUR,2004,71.0,10,5,0,28,0,28,0
HIMACHAL PRADESH_BILASPUR,2005,71.0,8,6,0,30,0,27,0
HIMACHAL PRADESH_BILASPUR,2006,66.0,11,2,0,27,3,23,0
HIMACHAL PRADESH_BILASPUR,2007,77.0,6,9,0,33,1,28,0
HIMACHAL PRADESH_BILASPUR,2008,87.0,10,7,2,28,5,35,0
HIMACHAL PRADESH_BILASPUR,2009,73.0,14,5,1,28,4,21,0
HIMACHAL PRADESH_BILASPUR,2010,96.0,15,6,0,37,6,32,0
HIMACHAL PRADESH_CHAMBA,2001,72.0,12,15,0,23,1,21,0
HIMACHAL PRADESH_CHAMBA,2002,62.0,16,10,2,21,1,12,0
HIMACHAL PRADESH_CHAMBA,2003,45.0,10,14,0,13,0,8,0
HIMACHAL PRADESH_CHAMBA,2004,68.0,14,20,1,22,0,11,0
HIMACHAL PRADESH_CHAMBA,2005,51.0,12,8,1,20,0,10,0
HIMACHAL PRADESH_CHAMBA,2006,36.0,4,11,0,18,0,3,0
HIMACHAL PRADESH_CHAMBA,2007,53.0,15,11,0,20,1,6,0
HIMACHAL PRADESH_CHAMBA,2008,62.0,10,16,0,26,0,10,0
HIMACHAL PRADESH_CHAMBA,2009,78.0,20,15,0,29,0,14,0
HIMACHAL PRADESH_CHAMBA,2010,70.0,13,21,1,29,1,5,0
HIMACHAL PRADESH_CID,2001,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2002,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2003,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2004,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2005,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2006,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2007,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2008,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2009,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_CID,2010,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2001,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2002,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2003,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2004,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2005,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2006,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2007,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2008,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2009,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_G.R.P.,2010,0.0,0,0,0,0,0,0,0
HIMACHAL PRADESH_HAMIRPUR,2001,59.0,3,3,1,17,2,33,0
HIMACHAL PRADESH_HAMIRPUR,2002,59.0,3,14,0,17,1,24,0
HIMACHAL PRADESH_HAMIRPUR,2003,42.0,6,7,0,13,1,15,0
HIMACHAL PRADESH_HAMIRPUR,2004,61.0,5,7,0,24,2,23,0
HIMACHAL PRADESH_HAMIRPUR,2005,44.0,4,4,0,11,4,21,0
HIMACHAL PRADESH_HAMIRPUR,2006,65.0,1,4,0,18,8,34,0
HIMACHAL PRADESH_HAMIRPUR,2007,98.0,5,15,1,29,13,35,0
HIMACHAL PRADESH_HAMIRPUR,2008,81.0,8,12,0,15,7,39,0
HIMACHAL PRADESH_HAMIRPUR,2009,80.0,9,14,0,22,5,30,0
HIMACHAL PRADESH_HAMIRPUR,2010,94.0,11,16,0,27,23,17,0
HIMACHAL PRADESH_KANGRA,2001,141.0,18,21,1,43,0,58,0
HIMACHAL PRADESH_KANGRA,2002,116.0,14,17,2,50,1,32,0
HIMACHAL PRADESH_KANGRA,2003,77.0,8,6,0,28,0,35,0
HIMACHAL PRADESH_KANGRA,2004,119.0,15,10,2,34,1,57,0
HIMACHAL PRADESH_KANGRA,2005,124.0,23,18,0,27,8,48,0
HIMACHAL PRADESH_KANGRA,2006,134.0,12,22,0,34,9,57,0
HIMACHAL PRADESH_KANGRA,2007,156.0,20,19,3,38,4,72,0
HIMACHAL PRADESH_KANGRA,2008,152.0,19,15,0,37,13,68,0
HIMACHAL PRADESH_KANGRA,2009,148.0,23,22,0,49,5,49,0
HIMACHAL PRADESH_KANGRA,2010,176.0,22,33,0,60,8,53,0
HIMACHAL PRADESH_KINNAUR,2001,15.0,6,3,0,4,0,2,0
HIMACHAL PRADESH_KINNAUR,2002,21.0,4,3,0,6,1,7,0
HIMACHAL PRADESH_KINNAUR,2003,14.0,6,4,0,2,0,2,0
HIMACHAL PRADESH_KINNAUR,2004,19.0,8,3,0,4,0,4,0
HIMACHAL PRADESH_KINNAUR,2005,20.0,4,3,0,6,1,6,0
HIMACHAL PRADESH_KINNAUR,2006,12.0,2,4,0,2,1,3,0
HIMACHAL PRADESH_KINNAUR,2007,15.0,9,1,0,1,0,4,0
