STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total_Crimes
ANDHRA PRADESH_CUDDAPAH,2004,4.0,8.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
ANDHRA PRADESH_CUDDAPAH,2005,3.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0
ANDHRA PRADESH_CUDDAPAH,2006,3.0,17.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
ANDHRA PRADESH_CUDDAPAH,2007,4.0,22.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
ANDHRA PRADESH_CUDDAPAH,2008,1.0,22.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
ANDHRA PRADESH_CUDDAPAH,2009,7.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
ANDHRA PRADESH_CUDDAPAH,2010,6.0,26.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
ANDHRA PRADESH_EAST GODAVARI,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2005,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
ANDHRA PRADESH_EAST GODAVARI,2006,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ANDHRA PRADESH_EAST GODAVARI,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_EAST GODAVARI,2010,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
ANDHRA PRADESH_GUNTAKAL RLY.,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2007,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ANDHRA PRADESH_GUNTAKAL RLY.,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTAKAL RLY.,2010,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
ANDHRA PRADESH_GUNTUR,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTUR,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_GUNTUR,2003,3.0,24.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
ANDHRA PRADESH_GUNTUR,2004,1.0,27.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
ANDHRA PRADESH_GUNTUR,2005,8.0,33.0,39.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,89.0
ANDHRA PRADESH_GUNTUR,2006,4.0,35.0,35.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,77.0
ANDHRA PRADESH_GUNTUR,2007,6.0,28.0,47.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,90.0
ANDHRA PRADESH_GUNTUR,2008,5.0,26.0,42.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,84.0
ANDHRA PRADESH_GUNTUR,2009,11.0,24.0,36.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,5.0,93.0
ANDHRA PRADESH_GUNTUR,2010,4.0,20.0,24.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,12.0,65.0
ANDHRA PRADESH_HYDERABAD CITY,2001,2.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,2.0,0.0,25.0
ANDHRA PRADESH_HYDERABAD CITY,2002,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0
ANDHRA PRADESH_HYDERABAD CITY,2003,0.0,18.0,3.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,56.0
ANDHRA PRADESH_HYDERABAD CITY,2004,11.0,27.0,45.0,0.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,113.0
ANDHRA PRADESH_HYDERABAD CITY,2005,5.0,6.0,1.0,0.0,0.0,73.0,9.0,0.0,2.0,1.0,1.0,98.0
ANDHRA PRADESH_HYDERABAD CITY,2006,4.0,44.0,40.0,0.0,0.0,58.0,0.0,0.0,1.0,0.0,0.0,147.0
ANDHRA PRADESH_HYDERABAD CITY,2007,2.0,12.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,61.0
ANDHRA PRADESH_HYDERABAD CITY,2008,0.0,37.0,12.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,68.0
ANDHRA PRADESH_HYDERABAD CITY,2009,2.0,1.0,2.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,21.0
ANDHRA PRADESH_HYDERABAD CITY,2010,2.0,15.0,33.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,21.0,86.0
ANDHRA PRADESH_KARIMNAGAR,2001,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,9.0
ANDHRA PRADESH_KARIMNAGAR,2002,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0
ANDHRA PRADESH_KARIMNAGAR,2003,6.0,57.0,23.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,408.0,510.0
ANDHRA PRADESH_KARIMNAGAR,2004,5.0,46.0,31.0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,375.0,488.0
ANDHRA PRADESH_KARIMNAGAR,2005,3.0,44.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,90.0
ANDHRA PRADESH_KARIMNAGAR,2006,0.0,44.0,78.0,1.0,0.0,5.0,1.0,0.0,1.0,3.0,11.0,144.0
ANDHRA PRADESH_KARIMNAGAR,2007,5.0,46.0,95.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,5.0,159.0
ANDHRA PRADESH_KARIMNAGAR,2008,9.0,60.0,104.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,182.0
ANDHRA PRADESH_KARIMNAGAR,2009,5.0,29.0,79.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,119.0
ANDHRA PRADESH_KARIMNAGAR,2010,7.0,46.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,110.0,267.0
ANDHRA PRADESH_KHAMMAM,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_KHAMMAM,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH_KHAMMAM,2003,5.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
ANDHRA PRADESH_KHAMMAM,2004,4.0,25.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
ANDHRA PRADESH_KHAMMAM,2005,0.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
ANDHRA PRADESH_KHAMMAM,2006,4.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
ANDHRA PRADESH_KHAMMAM,2007,6.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,65.0
ANDHRA PRADESH_KHAMMAM,2008,7.0,29.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0
ANDHRA PRADESH_KHAMMAM,2009,1.0,40.0,31.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,62.0,137.0
